CC,BsId,AreaId,Nusers,Season,QoS
1.813630173752058,23,4,931,0,3
1.007014738527173,2,6,7421,3,3
1.0370179405188038,14,4,3426,3,4
1.1304102728525267,12,6,2520,1,2
2.941275958660668,15,10,5654,1,2
1.1676531232656222,20,7,1623,0,4
3.985701081399367,13,8,8077,2,1
1.05249072979723,23,7,7316,2,3
2.7197323415045127,9,4,8113,1,3
1.3096514912990211,13,6,4953,2,3
2.9934363708794747,3,7,6221,0,2
2.1662167226970874,6,10,8152,3,3
2.0400200722330375,11,9,2037,2,2
3.7289864266561525,20,3,6163,2,4
2.7960066719090566,22,5,3006,2,4
4.629169887296192,6,2,3997,3,4
1.8663646642436356,5,5,4715,1,2
4.360961812634999,13,8,2216,1,3
4.733781269580657,11,2,4307,2,2
2.9479607862868678,9,3,1948,1,1
4.491222968757186,4,5,2409,0,1
2.447393023018561,12,9,8297,2,3
4.214049411164453,2,4,6323,2,3
2.042951725086854,5,7,4734,3,1
1.5880996633944995,14,3,8366,3,2
1.6414687229140879,3,1,2165,3,1
4.140000747850605,17,4,2502,1,4
4.714579661515385,4,1,1468,3,4
4.459029374024915,24,10,1570,1,4
1.2708639634427743,25,3,8994,2,4
4.911733573352299,3,10,3623,0,3
1.9100426887617132,9,10,5018,2,3
3.5636185788436276,8,8,4367,0,4
1.552522467822023,19,1,1912,0,3
1.5672106036072284,2,9,7845,0,1
2.9117873941419963,3,8,5400,1,1
2.365317543018832,6,2,3979,1,1
1.5883190911502023,20,5,5308,1,3
2.996085934531504,12,8,3299,2,1
4.1473774990568195,11,8,300,3,3
2.7282901317553647,25,9,2452,2,2
1.6107440061326543,22,2,8495,2,1
1.1435955215997828,16,3,9694,1,4
4.387411115584771,2,7,8741,2,1
3.8079153232280256,15,9,8804,1,3
2.0763594025679213,3,9,1466,2,2
2.1947830229114356,14,7,733,0,2
4.164719559918103,6,9,3072,1,2
1.3646808984201737,8,4,6640,2,3
2.1066530514442947,5,1,9117,2,3
4.542593279672987,24,6,8703,2,2
4.836968499709643,14,3,7552,1,4
4.19129100139289,1,7,3680,2,1
3.7417453007424326,5,1,8349,0,1
2.2877559094463304,20,8,1311,0,3
1.8898115527781405,25,2,2947,3,4
4.477013689458155,8,4,9135,3,2
4.862767676930465,23,3,605,2,4
2.217325624461717,15,1,3765,1,3
2.6868453785378277,10,5,311,1,2
2.0107438084016835,11,9,7726,2,3
3.099758208932133,7,2,7738,3,3
4.484587457646331,13,3,7616,0,2
4.91419607355882,19,9,395,1,1
1.8618432000324736,10,6,5090,0,2
1.906753403232381,8,4,2895,2,1
4.631716702490429,10,4,4393,1,4
2.2526462614806855,15,1,7683,0,1
2.763048937590189,16,10,9123,3,1
2.589683008878496,8,8,5778,0,1
1.1904519810429726,4,5,4896,3,2
3.840533494237407,3,5,2968,3,4
2.9726564666363555,11,2,3569,0,3
3.634038034806107,1,8,2582,2,2
1.498702405483563,14,6,58,1,2
3.994615259084624,7,1,9615,1,3
1.5101885754220201,7,4,9260,2,1
3.7523727361186707,24,6,1881,3,3
3.2583132794248715,13,7,4317,2,3
4.947664979236522,17,6,394,0,1
4.524653987832117,3,7,7868,1,1
2.824707488055588,6,5,9782,2,3
2.600683378394003,21,4,6096,3,2
4.065265961459564,13,2,6691,2,3
3.847615842360783,18,8,6434,0,2
3.981558722454492,4,6,8020,2,4
2.9507128690413698,22,7,9472,3,2
3.932461136709123,20,7,4011,0,3
1.3203636571642017,11,5,6662,3,4
4.362182610288059,19,10,7807,1,2
4.353174399874263,18,4,6522,3,3
3.1057381692252526,20,6,4678,2,3
4.807506188756662,7,3,5608,2,3
3.4759735077117235,4,5,9018,1,4
3.49092180752997,11,1,3123,2,1
1.0430061198147915,16,10,8077,1,3
3.7360300521583327,11,7,3275,1,3
3.811606973813107,24,6,716,3,2
3.4694545955182092,10,1,5689,0,1
3.4648742739527663,16,9,4977,2,1
3.7237907938525106,11,5,7058,3,1
4.2082703928826355,2,5,5787,2,4
2.6235202979255847,6,7,4418,0,2
4.352281390408106,19,5,1729,2,2
4.336041428550791,3,1,1853,2,1
4.51034343317344,6,8,9342,0,4
1.5591381032374163,20,9,3857,1,2
4.086350365600207,18,2,8801,1,2
2.952900379000737,5,5,5315,3,3
4.875568193178385,12,1,7854,2,4
4.292340415152037,21,9,5646,1,2
1.7609960241477123,11,1,9596,1,3
2.621401457133528,8,10,3459,1,4
3.522686319166853,21,6,2244,2,2
1.291108692548924,24,9,5258,2,2
1.751245859845696,14,2,7826,2,3
4.047850887517886,15,2,7847,0,4
1.7087120888985754,16,4,1486,3,1
1.6991069456006862,14,1,9820,2,1
3.9833464755051406,9,1,5813,3,2
2.7491447068823214,12,5,2392,0,3
4.6958896979798155,7,7,3425,2,2
4.711922093316408,8,2,5646,1,3
3.438438150537472,2,7,9580,2,4
1.7635748930564783,17,3,8418,1,4
2.253199442145807,24,4,1550,1,1
2.1527596522236845,17,10,1947,1,3
2.3281972421737147,1,6,4172,0,2
2.358919508644132,10,5,6418,0,4
2.516683838993764,23,8,982,1,4
2.418587825659382,13,5,5850,2,1
3.4643269896426134,15,4,7040,2,2
4.518852244916043,8,9,5913,1,3
3.694642864125635,1,3,3020,0,2
4.650040160076853,18,8,8602,0,4
4.840596074878439,10,3,9136,1,4
3.6768644066202625,10,6,8807,3,3
1.0897078257341115,21,6,4699,1,4
1.593118236586136,6,5,6077,1,3
3.5947789383653883,14,9,1199,0,3
2.1766335596824415,5,3,8029,1,4
2.203200496922977,6,7,4422,2,1
1.3115075473421522,10,6,8275,0,3
4.149081166537754,16,6,5651,3,2
1.8218133595175048,14,4,2671,0,2
2.6611836240059628,24,8,6748,0,3
3.53886950372651,16,8,7555,1,1
4.856719150159369,5,9,9530,0,1
1.0339926428954476,16,10,9739,2,4
3.1229797781286823,10,4,7534,1,3
2.156665851082857,8,6,1099,1,1
1.7891051075946391,5,3,9991,2,1
3.064097215581761,5,6,5685,2,3
4.651506937890792,15,2,9305,1,4
1.3909311659670665,9,1,9021,0,1
3.7427925291606305,7,8,7914,3,1
3.2565449591283895,9,7,1336,0,3
3.7884249877488916,23,1,3184,1,1
1.2967917498392483,4,8,9308,1,1
3.2219550161400647,9,3,7434,3,2
3.5544347427499483,19,10,9428,2,2
1.3651575399858062,3,1,8622,3,2
2.7834775657054522,18,1,5536,2,1
3.8933571413869186,13,8,1382,2,1
3.078649574516664,21,1,8358,3,4
3.805250529203592,3,2,9158,2,4
2.260320417568169,25,8,9603,1,1
3.9431315614773097,12,9,1906,0,3
3.935650067475406,11,9,1527,2,2
3.3118986716383327,6,4,1552,2,2
1.588125744898825,17,7,2037,1,2
2.47796314230958,18,2,3416,0,4
3.6824978625651985,4,7,2028,1,1
2.393665937370591,25,2,3698,1,1
3.361292655035405,23,6,320,3,3
4.448536006378994,6,1,4213,2,2
3.3460866248396295,10,2,1858,0,2
3.456096644184356,11,5,4791,1,4
1.6293787166272864,4,8,1971,1,1
3.5532270675908224,7,4,3328,0,3
4.863177701704183,24,8,3456,3,3
1.6525294796322885,15,2,8786,3,2
1.0128369303319706,6,10,7574,0,2
1.69180678199488,21,9,9759,1,2
4.890354876680787,2,6,3959,0,2
2.5333050661816685,4,9,6426,3,3
2.2200733071686596,6,4,6662,3,1
3.022722243167503,6,8,5524,1,1
1.328765221424228,6,1,8021,2,4
3.435178749679185,14,6,9807,0,3
2.302182533975508,9,5,6210,3,3
4.1945563458580235,14,5,138,1,2
1.7137751588582355,22,2,336,3,1
2.725199302273662,13,9,5123,0,2
2.788533916667679,1,4,7527,3,4
3.591715094630002,24,5,6005,3,3
1.8537579792655139,23,8,7615,2,3
4.71599243352192,11,3,9851,1,3
4.801060828635675,15,7,391,0,2
3.855650310951697,10,3,1548,2,3
3.9488980628842576,22,1,6791,3,3
4.913238751294658,5,1,8715,1,4
3.9223853618667266,19,8,1381,1,1
2.2622429662703762,14,2,8161,0,1
4.57281250382251,24,4,1996,2,2
1.5714428975321475,23,5,3605,3,1
4.837446277894937,12,3,8790,2,4
3.234020252969644,6,7,695,2,2
1.0996442496262269,6,5,5822,2,4
4.3734358423149615,24,4,6647,3,1
1.1024498996072163,9,6,1830,1,2
4.818461697955025,2,8,9635,3,3
2.3970125119370382,2,1,6699,0,1
1.2553447995314388,25,8,2293,0,2
3.4514827811105926,2,2,2389,0,1
4.388120116979663,15,4,9084,1,4
4.473362706800346,2,6,7181,0,3
2.9504735856093993,19,8,6874,2,2
4.522379713418082,24,7,6876,0,2
2.532035802846677,17,1,2735,0,3
4.157735457975974,18,10,3075,1,1
2.820341146281613,12,7,7209,0,2
3.7082239821683873,23,10,3601,2,3
3.4337566511567807,7,2,6254,1,2
4.016769884460058,8,3,8198,0,1
1.3749533460899932,16,7,7554,3,4
3.725761241982294,17,3,4713,2,2
2.185990192256345,3,9,2883,3,4
1.517048961134099,12,3,720,0,4
3.8993723131494438,3,6,8867,0,2
2.007233490262895,15,10,6206,1,4
1.5178775659171286,24,7,2703,0,4
1.2859936788658808,24,9,908,3,4
4.549747159917157,25,1,1927,2,4
2.7379558287267445,2,7,8082,2,1
4.759391643357366,7,4,4439,3,4
2.916648455458597,21,7,6795,1,3
4.030492541325314,20,3,4593,3,3
2.0337712460240254,21,8,3175,2,1
2.3830307158620787,16,1,4104,0,4
3.3311798382965367,4,9,7163,2,2
4.858672942383009,11,4,2368,1,2
3.881389646395528,14,3,9001,1,2
2.402434340754038,10,1,6164,1,3
4.025749189402935,1,6,4961,0,1
2.166796417358252,10,9,2287,0,4
1.7607490810633122,24,4,6262,0,1
4.168155895807121,24,6,9418,2,3
1.5822929662723677,21,2,363,2,2
1.9876730078817504,1,7,2082,3,2
3.9173649782028543,5,10,4095,2,4
2.1371153996589927,9,2,5262,2,2
4.06500305505132,19,2,1258,1,2
3.986090938877869,18,3,6509,3,2
4.598682354987,8,9,8531,2,2
1.1592217556066688,16,3,3681,2,2
3.8036029162594813,9,9,5422,3,3
1.7676252304684428,22,5,3794,0,2
4.898022955808292,25,9,3747,1,3
2.1310919984115535,2,7,2574,2,4
1.3162991548573535,9,1,266,2,4
2.1738637640375953,3,1,9431,1,4
2.469808193482239,9,10,514,2,1
2.967546630867576,8,8,3280,2,1
4.600416688822794,19,4,9942,3,3
3.5673206542417044,14,8,2301,1,1
4.904477701770549,11,5,380,3,1
1.3362578879180909,23,9,9684,3,1
3.833990565680548,23,8,7550,1,1
1.2077275659664064,4,8,9103,1,2
1.9709833295045138,15,8,8098,1,4
1.2514043625943416,10,7,8028,2,3
1.020185103087187,13,5,7138,0,3
1.32713224844596,8,2,4079,1,2
4.952077371886778,4,5,5509,3,4
